tenure_months,monthly_fee_chf,usage_hours_last_30d,support_tickets_last_6m,payment_delay_days_avg,contract_type,plan_type,auto_renew_enabled,email_engagement_score,days_since_last_login,churned
38,37.36,21.3,0,1.9,annual,premium,0,9.9,59,0
7,37.88,14.1,2,9.5,annual,basic,1,5.5,89,0
3,38.94,13.3,1,9.0,annual,basic,1,6.2,0,0
24,33.89,23.8,0,10.7,monthly,standard,1,5.8,26,0
39,27.65,31.3,1,7.5,monthly,standard,1,8.4,37,1
52,12.59,17.8,2,10.2,annual,standard,0,6.5,4,0
10,27.4,25.9,5,5.1,annual,standard,0,6.8,38,0
22,22.04,13.5,2,5.3,annual,standard,1,2.9,14,0
1,30.18,20.0,3,0.5,monthly,standard,1,1.8,21,0
14,50.64,6.2,5,3.8,monthly,basic,0,1.9,73,1
25,41.0,17.8,1,5.9,monthly,standard,0,9.8,47,0
41,17.7,27.3,4,6.3,monthly,standard,1,6.6,0,0
53,31.69,31.0,1,7.4,annual,basic,1,4.4,89,0
28,15.63,13.4,1,5.7,annual,basic,1,0.3,28,1
58,8.0,25.4,3,3.0,annual,premium,0,5.4,28,0
6,23.63,6.3,0,3.2,annual,standard,0,2.7,3,0
51,27.91,26.3,2,1.7,monthly,standard,0,3.8,31,0
37,23.37,24.3,1,8.5,annual,basic,0,2.7,2,0
1,21.58,22.6,4,24.3,annual,premium,1,8.3,53,1
5,24.11,17.3,0,4.8,monthly,standard,1,6.8,23,0
18,31.78,28.1,5,3.6,monthly,basic,0,1.6,51,1
39,36.78,9.3,2,8.3,monthly,basic,1,8.1,73,1
23,24.68,20.4,4,0.4,monthly,standard,1,0.4,66,1
58,49.0,22.1,1,12.9,monthly,standard,1,8.8,54,0
27,39.49,0.2,2,2.9,monthly,basic,0,3.4,24,0
57,28.69,11.2,1,7.7,monthly,premium,0,6.9,29,0
34,23.32,16.2,5,11.2,annual,basic,1,3.6,10,1
54,36.56,10.2,0,9.3,monthly,basic,1,4.9,46,0
28,40.34,11.9,3,1.3,monthly,standard,1,5.1,73,0
31,45.51,23.5,1,5.8,monthly,basic,1,6.9,86,0
35,45.09,18.4,6,8.1,monthly,premium,1,9.2,77,0
39,30.8,22.7,0,7.7,annual,standard,1,0.2,81,0
43,36.0,20.1,2,4.3,monthly,basic,1,3.4,44,1
41,32.25,8.8,2,3.4,annual,premium,1,4.4,0,0
33,9.11,0.0,0,13.2,annual,premium,1,3.3,64,1
49,25.21,24.6,2,3.2,annual,standard,1,7.6,85,0
44,35.98,12.5,2,11.6,annual,basic,1,2.7,45,0
34,53.07,22.5,0,14.1,annual,standard,0,5.5,83,0
26,8.0,1.7,4,2.1,monthly,standard,1,3.3,88,1
38,14.66,9.8,2,3.0,annual,basic,0,6.1,33,0
54,55.28,14.8,1,12.9,monthly,standard,1,8.6,8,0
9,32.3,22.8,1,1.4,monthly,premium,0,0.7,42,1
50,44.7,31.1,3,17.9,annual,standard,1,8.0,1,0
5,24.59,16.8,7,12.7,annual,premium,1,3.5,38,0
6,43.15,6.0,0,4.3,monthly,premium,1,9.0,29,0
5,30.39,0.0,3,9.3,monthly,basic,1,1.2,43,1
48,41.08,20.7,2,2.5,annual,premium,1,0.3,68,1
15,47.24,28.0,1,2.3,monthly,basic,1,9.1,43,0
51,47.61,32.7,3,11.6,monthly,basic,1,7.8,5,0
26,16.33,5.5,4,4.3,monthly,standard,1,6.1,62,1
57,42.27,20.3,1,9.2,monthly,premium,0,4.0,8,0
44,31.2,17.4,0,9.1,monthly,standard,1,6.5,26,0
47,20.87,7.1,3,4.4,annual,basic,1,6.4,76,1
46,26.85,30.3,4,8.6,annual,standard,1,8.6,87,0
57,43.77,11.7,2,3.1,annual,basic,1,2.4,88,1
34,38.98,14.8,2,17.7,monthly,basic,1,2.9,13,0
56,29.03,14.1,3,12.5,monthly,standard,1,7.8,37,0
26,37.43,19.1,1,6.0,monthly,standard,1,2.2,22,0
23,40.69,22.0,2,3.4,monthly,standard,0,4.4,42,1
1,31.2,21.5,3,3.9,monthly,standard,1,5.9,38,0
25,23.06,22.3,1,16.4,annual,basic,0,0.6,14,0
35,20.65,12.3,2,12.7,monthly,standard,1,1.0,27,0
51,31.72,19.3,1,12.8,annual,basic,0,3.5,68,0
32,57.6,30.0,2,6.1,monthly,standard,0,2.3,25,0
42,18.69,14.1,0,5.5,annual,basic,1,8.4,70,0
39,37.11,14.6,0,0.9,monthly,standard,0,0.8,85,1
43,26.18,20.7,3,17.1,monthly,standard,1,6.5,61,0
10,39.54,25.9,4,1.9,monthly,premium,1,6.6,47,0
9,26.85,15.4,1,2.0,monthly,standard,1,9.6,35,0
45,51.6,22.4,0,12.5,monthly,basic,0,0.8,21,0
57,47.98,9.1,0,8.0,annual,standard,1,0.3,11,0
46,23.62,22.3,1,6.8,monthly,premium,1,8.5,88,0
53,34.57,21.1,5,9.2,monthly,standard,1,0.7,5,0
10,39.15,25.7,0,4.2,monthly,basic,1,9.7,3,0
33,46.5,26.8,2,11.5,monthly,standard,1,6.2,37,0
37,52.28,22.4,1,10.6,monthly,standard,1,1.3,65,0
33,35.85,20.9,5,4.2,monthly,basic,0,5.9,77,1
23,16.53,27.4,0,4.7,monthly,standard,1,0.5,14,0
11,33.59,6.9,2,7.2,annual,standard,1,3.6,4,0
55,47.29,16.2,0,13.6,monthly,premium,1,9.8,22,1
15,18.17,28.6,1,7.0,monthly,basic,0,0.5,69,1
30,49.73,17.3,3,5.7,monthly,basic,0,1.5,40,0
9,32.99,31.5,3,7.3,monthly,standard,1,2.4,89,1
16,57.87,27.7,3,6.3,annual,basic,1,5.4,71,0
17,13.97,21.2,2,3.4,monthly,standard,1,8.1,36,0
42,35.09,20.9,4,1.0,monthly,standard,1,4.1,17,0
6,48.24,22.2,2,12.6,monthly,standard,0,9.7,82,1
43,35.89,19.3,1,3.3,annual,basic,0,4.5,73,0
21,28.19,14.3,1,8.2,annual,basic,1,9.0,84,0
5,30.06,22.0,4,8.7,monthly,basic,1,3.7,76,1
35,14.04,9.2,1,2.5,monthly,basic,1,5.6,88,1
25,8.0,37.3,2,5.2,annual,basic,1,4.1,65,0
53,31.65,31.4,4,3.8,monthly,standard,1,2.2,48,0
53,32.31,14.5,0,3.8,monthly,standard,1,3.6,37,0
24,32.77,8.4,2,10.1,monthly,basic,1,3.9,64,1
47,55.83,33.8,2,9.3,monthly,standard,0,7.2,50,0
19,38.33,9.8,3,0.6,annual,standard,1,7.2,38,0
11,15.47,22.5,1,6.7,monthly,standard,0,4.4,7,0
37,33.31,1.4,0,2.5,monthly,standard,1,4.4,41,0
7,40.54,20.4,1,7.0,annual,standard,1,8.0,32,0
34,37.99,21.3,2,8.2,monthly,premium,0,9.7,85,0
24,25.16,11.9,1,10.8,annual,basic,1,9.2,21,0
28,38.91,23.0,2,16.3,annual,premium,0,6.8,12,0
29,30.98,23.1,4,2.7,monthly,basic,1,7.6,74,0
12,12.55,30.5,3,1.7,monthly,standard,0,8.5,14,0
41,21.74,14.5,1,6.8,monthly,standard,0,6.5,64,0
46,51.45,10.3,3,2.4,annual,basic,1,7.4,7,0
55,29.53,7.4,1,6.8,monthly,standard,1,5.1,1,0
15,25.83,26.7,1,5.4,monthly,premium,1,2.8,22,0
53,31.71,23.8,1,4.9,monthly,basic,1,4.2,53,0
26,28.63,14.4,0,6.9,monthly,standard,1,5.5,67,0
33,24.13,18.8,4,6.7,monthly,standard,0,5.4,84,1
47,46.52,24.6,0,8.1,monthly,basic,1,8.4,21,0
24,14.87,16.5,1,2.6,monthly,basic,0,4.6,38,1
37,27.26,17.3,0,2.1,annual,basic,1,8.2,87,0
2,25.03,12.4,1,11.3,monthly,standard,1,2.6,75,1
60,23.22,6.9,4,5.6,monthly,basic,0,9.2,85,0
34,19.76,26.2,0,6.6,monthly,standard,0,6.3,3,0
8,33.35,18.0,0,12.9,monthly,basic,1,7.4,64,0
11,60.19,10.3,0,4.5,monthly,standard,0,8.4,26,0
32,38.91,39.3,1,1.0,annual,premium,1,1.1,22,0
50,15.74,19.9,3,10.2,annual,standard,1,5.2,33,1
3,34.43,24.2,2,9.9,annual,standard,0,6.0,40,1
25,23.29,26.6,2,1.9,annual,basic,0,0.1,29,0
35,48.07,18.6,2,16.8,monthly,standard,1,7.6,50,0
31,19.64,12.6,1,2.7,monthly,basic,1,0.9,29,0
16,19.05,11.8,2,3.1,annual,standard,0,2.7,65,0
30,32.49,38.6,2,3.1,monthly,basic,0,0.8,15,0
4,27.25,11.7,0,11.5,monthly,standard,0,9.0,62,1
10,39.63,20.8,1,13.6,monthly,standard,1,5.0,75,1
11,26.45,11.2,1,1.9,monthly,basic,1,1.7,53,0
35,30.38,18.4,5,6.0,annual,basic,1,4.1,58,0
21,36.07,16.5,2,4.5,annual,standard,1,2.9,47,0
25,50.68,13.0,0,3.4,annual,standard,0,6.1,34,1
10,22.99,13.3,3,4.4,monthly,standard,0,0.0,62,1
35,44.67,18.5,2,5.1,monthly,standard,1,8.4,51,0
10,55.97,12.3,0,9.9,monthly,premium,1,3.9,31,1
23,23.2,19.6,1,8.0,annual,basic,1,1.2,30,0
6,18.08,23.8,1,14.8,monthly,standard,1,1.3,32,1
36,37.21,29.8,3,1.2,annual,basic,1,6.8,58,0
32,42.18,21.1,1,4.8,annual,standard,1,7.8,20,0
42,49.35,26.4,2,1.8,monthly,standard,1,6.5,61,0
40,15.65,27.0,1,3.3,monthly,premium,0,6.1,39,0
46,49.76,25.4,1,1.3,monthly,standard,1,1.6,27,0
57,39.93,13.7,4,2.0,annual,standard,1,0.5,40,0
15,49.26,10.5,2,1.7,annual,basic,1,6.0,40,0
15,57.28,14.1,2,7.7,monthly,basic,0,7.9,7,0
42,8.0,20.0,0,2.7,annual,basic,1,7.4,80,0
39,30.69,14.1,0,1.0,annual,premium,0,1.5,36,0
20,30.7,21.9,1,2.2,monthly,standard,0,0.6,45,0
50,29.19,16.3,3,4.5,annual,premium,1,3.4,56,1
35,19.45,13.5,4,4.1,annual,standard,1,8.4,30,0
23,14.23,17.1,4,1.0,monthly,standard,0,3.9,87,1
14,39.18,19.3,1,4.3,monthly,standard,1,5.1,50,1
60,23.81,18.1,2,4.7,monthly,basic,1,6.9,50,0
5,41.44,9.6,1,1.1,annual,basic,1,6.4,53,0
46,27.67,32.5,0,6.6,monthly,basic,1,0.9,59,0
39,31.74,27.4,3,1.4,annual,premium,1,1.4,16,0
9,20.56,16.6,2,10.0,monthly,premium,1,3.0,28,0
3,44.26,13.5,1,0.5,monthly,standard,1,9.8,86,1
7,10.8,6.3,1,3.9,monthly,basic,1,0.8,43,0
26,27.93,25.7,0,0.7,monthly,basic,0,7.8,48,0
29,15.96,16.7,3,2.7,annual,standard,0,8.1,56,0
5,27.63,26.3,1,0.5,monthly,basic,0,2.2,74,0
42,19.68,22.3,0,3.9,monthly,standard,0,8.6,15,0
47,19.09,9.6,0,3.3,monthly,standard,1,5.5,33,0
3,36.52,4.0,2,12.6,annual,basic,0,1.4,33,0
47,29.55,15.7,1,2.6,annual,standard,0,7.6,14,0
34,52.71,39.0,2,0.8,monthly,basic,0,3.6,72,0
36,25.79,15.3,2,3.6,monthly,standard,1,7.2,85,0
21,38.28,5.0,0,3.4,monthly,standard,0,5.2,31,1
12,14.77,24.7,0,7.0,monthly,standard,1,9.5,83,0
38,22.04,11.9,1,1.4,monthly,standard,1,7.6,89,0
3,21.53,16.0,1,12.7,monthly,standard,0,7.4,52,1
27,51.63,31.5,3,1.1,monthly,basic,1,3.3,46,0
40,38.47,9.6,2,7.6,annual,basic,1,1.8,55,1
4,31.19,19.0,2,8.9,monthly,standard,1,4.4,68,1
44,21.19,24.8,3,3.5,annual,standard,0,6.2,26,0
41,39.05,33.1,1,0.8,monthly,basic,1,7.5,44,0
11,44.77,12.3,1,3.3,monthly,basic,1,4.2,80,0
31,33.92,17.8,1,6.1,monthly,standard,1,2.7,83,1
59,21.9,11.3,3,15.7,annual,basic,0,1.2,54,1
10,37.89,31.9,0,1.7,monthly,standard,1,0.1,25,0
60,38.71,13.8,3,7.0,annual,standard,1,9.9,35,0
38,18.39,15.9,1,3.5,monthly,standard,1,8.8,27,0
55,44.52,10.4,1,8.2,annual,standard,1,3.9,39,0
32,49.46,28.5,4,0.6,monthly,premium,1,2.0,54,0
47,35.5,27.4,3,5.3,annual,standard,1,9.3,59,0
27,26.38,1.9,0,2.9,monthly,premium,1,7.9,58,1
7,35.31,22.2,1,7.6,monthly,standard,1,5.5,42,0
54,40.41,12.8,2,2.0,monthly,basic,0,1.8,72,0
55,28.88,7.1,3,8.0,annual,basic,1,2.3,88,1
20,58.25,10.5,4,0.8,annual,basic,1,1.0,57,1
25,41.95,1.9,1,1.9,monthly,basic,0,2.2,5,0
15,48.68,18.0,3,8.9,monthly,standard,1,4.2,83,1
41,38.53,9.0,2,4.6,annual,basic,1,1.4,25,0
39,38.68,20.1,1,7.7,monthly,standard,1,1.0,53,1
41,39.46,30.9,1,0.8,monthly,standard,1,5.8,40,0
49,63.32,14.2,1,4.8,annual,standard,1,0.5,54,1
21,33.52,19.7,1,23.0,monthly,basic,1,3.6,31,0
51,34.84,4.8,2,4.7,monthly,premium,1,8.5,15,0
5,37.38,18.3,0,4.3,monthly,premium,1,9.4,11,0
40,53.26,14.6,1,3.3,annual,standard,1,6.7,38,0
3,37.63,20.6,1,8.5,monthly,standard,0,1.2,71,1
9,31.1,24.4,3,2.6,annual,standard,1,2.1,58,0
49,29.27,0.1,1,10.4,monthly,basic,1,9.1,40,1
20,36.26,19.0,2,2.4,monthly,premium,1,2.9,89,0
13,24.97,13.9,0,2.7,monthly,premium,1,9.7,61,0
27,29.2,4.7,2,6.3,monthly,basic,1,6.8,72,1
52,44.49,11.7,0,3.2,monthly,premium,0,6.3,59,0
30,26.51,20.8,3,3.5,monthly,premium,1,9.8,15,0
60,34.52,0.0,1,2.2,annual,basic,1,7.8,48,0
51,24.49,18.0,1,1.3,monthly,basic,1,5.7,79,0
43,18.77,17.0,3,1.1,monthly,premium,1,7.0,0,0
34,45.49,22.9,0,0.9,monthly,standard,0,9.0,63,0
16,43.12,22.6,0,15.7,annual,basic,1,9.9,0,0
47,39.23,17.6,1,0.8,annual,premium,0,4.7,32,0
31,26.33,19.8,1,7.4,annual,standard,0,7.0,32,0
39,53.69,2.3,1,2.6,annual,basic,1,4.7,25,0
37,16.78,8.7,4,6.1,monthly,premium,1,3.2,34,0
17,21.98,12.9,1,1.7,monthly,standard,1,4.8,45,0
33,10.58,27.9,0,26.3,annual,standard,0,6.3,81,0
18,32.15,10.9,2,4.7,annual,standard,1,5.8,67,0
6,26.92,14.8,0,10.2,monthly,premium,0,1.6,64,0
29,26.96,17.0,0,9.5,annual,basic,1,5.5,60,0
2,36.28,26.0,3,2.1,monthly,premium,0,6.9,70,1
11,33.84,19.6,1,2.8,monthly,standard,1,4.5,53,0
21,26.44,31.6,3,3.6,monthly,standard,1,5.0,36,0
59,29.08,22.0,0,0.2,monthly,standard,1,9.6,36,0
50,40.18,46.7,2,2.0,monthly,basic,1,7.1,5,0
51,13.82,27.4,2,10.0,monthly,basic,1,8.6,47,0
26,22.77,9.5,0,7.6,monthly,standard,1,7.1,21,0
37,52.98,8.5,2,9.4,annual,premium,0,3.5,64,1
53,44.91,11.2,2,0.9,annual,standard,1,6.6,38,0
14,25.51,10.0,1,2.4,annual,premium,1,4.5,5,0
10,51.37,18.1,2,6.6,annual,basic,1,6.0,27,0
41,27.49,21.2,2,3.6,monthly,standard,1,6.4,82,0
22,53.57,12.4,0,0.5,monthly,premium,1,3.6,70,0
25,17.66,10.8,1,16.7,annual,basic,0,2.2,17,0
6,29.41,0.4,3,1.9,monthly,premium,1,2.1,55,0
39,22.86,7.0,0,9.1,monthly,standard,1,9.2,80,1
11,41.76,22.8,0,4.6,monthly,standard,1,8.4,48,0
33,17.19,4.2,3,7.6,monthly,standard,0,8.0,69,1
56,37.09,5.2,1,6.0,annual,standard,1,4.6,63,0
16,41.29,11.7,1,1.9,monthly,basic,1,6.7,32,0
28,53.54,2.5,4,0.9,monthly,standard,0,4.4,41,0
52,45.93,4.5,0,1.5,monthly,standard,1,6.2,17,0
40,38.53,5.1,2,6.4,monthly,premium,1,8.0,68,0
27,40.24,6.2,2,7.6,annual,standard,1,9.3,42,0
50,20.61,6.7,5,0.4,monthly,standard,1,2.7,88,1
24,13.89,28.9,2,3.3,monthly,standard,1,2.6,44,0
3,37.14,5.8,0,3.0,monthly,premium,1,8.6,10,1
34,11.83,37.0,1,2.8,monthly,premium,1,3.7,23,0
52,32.64,14.8,7,1.7,annual,basic,1,1.3,59,1
21,23.72,27.9,1,4.4,annual,standard,1,7.8,36,0
40,26.07,17.3,0,4.2,monthly,basic,0,5.0,71,0
47,33.64,5.9,3,2.2,monthly,standard,1,8.2,77,1
16,46.47,21.5,1,15.4,annual,standard,0,1.3,87,1
59,30.66,14.5,0,16.1,annual,premium,0,9.7,13,0
20,22.33,43.8,1,1.2,annual,standard,1,3.3,20,0
7,32.98,29.2,2,15.9,monthly,basic,1,5.5,38,0
5,52.04,14.9,0,7.2,annual,standard,1,4.0,32,0
44,22.79,17.0,1,1.7,monthly,standard,1,9.7,4,0
32,27.76,32.1,3,5.9,monthly,standard,0,9.9,6,0
23,23.09,8.3,0,0.5,monthly,basic,1,4.2,63,1
37,24.39,30.7,3,3.6,monthly,basic,1,7.7,18,0
15,32.29,7.9,0,14.3,annual,standard,1,2.5,44,1
47,35.97,9.5,1,0.7,annual,standard,1,7.6,30,1
49,35.46,16.6,4,6.9,annual,premium,0,5.4,79,0
51,15.23,9.9,1,7.3,annual,basic,1,6.6,29,0
50,45.96,26.9,2,4.9,monthly,basic,1,3.5,2,0
49,32.9,21.3,1,7.9,monthly,standard,1,6.7,53,0
23,29.08,28.6,2,3.6,annual,standard,0,3.9,11,0
53,51.71,21.4,2,15.8,monthly,standard,0,3.9,22,0
15,23.06,11.6,3,3.9,annual,premium,1,4.0,82,0
11,39.07,22.3,0,11.3,monthly,basic,1,7.0,11,0
30,32.38,37.7,2,8.3,monthly,premium,1,7.8,31,0
49,23.51,20.6,2,3.7,monthly,basic,0,0.3,57,0
36,37.38,0.0,2,4.8,monthly,basic,1,1.2,37,0
46,32.31,14.7,4,11.1,annual,standard,1,0.6,24,0
55,51.23,13.4,3,5.2,monthly,basic,1,6.5,72,0
7,26.94,21.0,0,4.7,monthly,standard,0,8.5,85,1
33,30.1,22.5,3,0.8,monthly,basic,0,3.2,32,0
50,35.75,23.8,0,6.2,annual,standard,1,2.9,62,0
30,27.35,20.2,5,7.5,monthly,standard,0,8.6,74,0
15,49.36,36.4,1,6.7,monthly,standard,0,3.6,89,0
30,23.44,31.7,3,3.1,annual,basic,0,7.8,17,1
9,36.09,14.3,2,11.5,annual,standard,1,2.8,34,0
14,41.05,21.9,2,1.4,monthly,standard,1,7.8,88,1
46,14.17,24.6,2,5.2,monthly,standard,1,6.6,45,0
5,34.16,24.2,3,2.2,monthly,standard,1,3.7,77,0
20,26.71,0.0,2,15.3,monthly,standard,1,4.5,53,0
27,17.25,16.8,2,0.9,monthly,basic,1,9.0,84,0
46,40.04,22.9,1,3.9,monthly,standard,1,1.7,3,0
5,36.53,10.5,2,11.5,monthly,standard,0,6.7,76,0
28,29.47,28.8,1,4.4,annual,standard,1,8.8,14,0
9,32.56,14.6,4,9.5,monthly,standard,0,9.4,43,0
47,36.24,19.9,1,4.7,monthly,standard,0,8.4,46,1
13,20.03,26.4,2,3.9,monthly,basic,1,3.9,1,0
59,27.73,0.0,0,4.9,annual,standard,0,7.4,70,0
41,15.21,20.8,3,4.7,annual,standard,1,4.0,31,0
31,16.08,14.6,1,3.3,monthly,standard,1,10.0,61,0
25,38.26,28.6,2,3.9,annual,basic,0,9.5,28,0
8,50.88,2.8,3,8.9,monthly,basic,0,0.7,20,0
11,37.93,27.8,2,1.0,monthly,basic,1,6.9,87,1
22,37.02,11.7,0,12.1,annual,premium,1,9.9,51,0
36,15.67,31.8,0,4.6,monthly,standard,0,1.3,33,0
45,20.71,42.6,2,1.8,monthly,standard,1,3.8,63,0
32,39.83,26.0,1,0.4,annual,premium,0,4.1,41,0
21,30.18,19.0,3,5.5,annual,standard,1,2.1,83,0
55,43.39,11.6,4,8.6,monthly,standard,0,2.5,41,0
1,40.31,14.5,3,5.1,annual,standard,1,2.8,76,0
14,16.29,20.6,0,3.5,monthly,standard,1,7.9,50,0
32,45.15,25.4,0,0.6,monthly,premium,0,4.0,13,0
8,41.34,20.0,2,16.5,monthly,basic,1,1.8,29,0
25,38.72,3.0,1,15.0,monthly,basic,0,3.9,46,1
18,47.93,7.3,2,2.4,monthly,standard,1,8.2,44,1
1,23.19,4.5,2,2.3,monthly,premium,1,2.9,36,1
4,40.46,20.8,0,0.2,monthly,basic,1,3.5,14,0
22,35.36,9.9,2,4.0,annual,standard,1,2.6,59,0
47,25.07,15.4,1,8.5,annual,standard,1,2.2,81,0
54,53.18,29.3,5,0.7,monthly,standard,1,4.4,58,0
33,13.87,38.5,0,4.7,monthly,standard,1,9.2,78,0
12,8.0,20.5,1,10.6,monthly,premium,1,7.2,21,0
7,27.81,27.4,2,7.1,monthly,premium,1,8.8,36,1
40,17.12,32.4,2,10.5,monthly,standard,0,9.8,84,0
43,30.36,8.3,2,4.0,monthly,standard,1,4.1,19,0
3,8.0,22.2,2,2.7,monthly,standard,0,9.7,6,0
51,33.91,29.7,0,4.4,annual,standard,0,6.8,59,0
2,27.14,25.9,0,1.7,monthly,basic,0,7.0,31,0
6,25.12,28.7,0,4.4,annual,premium,1,1.9,84,0
47,34.36,27.0,1,2.7,annual,basic,0,9.9,52,0
11,41.46,37.7,3,3.2,annual,basic,1,7.4,12,0
26,38.72,29.9,1,12.6,annual,basic,0,5.0,27,0
30,20.07,8.8,1,5.8,monthly,premium,1,9.2,71,1
53,47.1,10.8,3,7.3,monthly,standard,1,8.9,69,0
37,18.32,19.4,1,4.7,annual,standard,0,3.0,61,0
14,49.23,24.0,4,15.1,monthly,basic,1,9.2,44,0
11,29.62,25.1,1,4.8,monthly,premium,1,0.9,36,0
32,35.97,21.2,0,8.8,monthly,standard,0,3.1,51,0
